ListingURL,ListingID,ListingType,ListingTitle,ListingPrice,ListingCategory,ListingLocations,SellersOrganizationName
https://www.businessforsale.com.au/australia/C2Cxcllusive_51_1219/new-high-tech-hologram-zoo-mobile-entertainment-national-opportunity-darwin-nt,xcllusive_51_1219,Darwin,"New High-Tech Hologram Zoo Mobile Entertainment – National Opportunity – Darwin, NT","$700,000",Business for Sale > Northern Territory > Darwin Region > Darwin,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB2176/coast-to-coast-business-sales
https://www.businessforsale.com.au/australia/FFB1P3143/sales--hire-business-3.8m,1P3143,Machinery,Sales & Hire Business - $3.8m,"$3,800,000",Business for Sale > Northern Territory > Darwin Region > Darwin > Agricultural and Rural > Machinery,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/e53bf17c/two-metal-fabrication-businesses-vic-agreed-sale,GR820,Engineering,Two Metal Fabrication Businesses (VIC) AGREED SALE,"$150,000 ",Business for Sale > Victoria > Melbourne Region > Industrial/Manufacturing > Engineering,"Melbourne Region, VIC",https://www.businessforsale.com.au/business-brokers-profile/AB0707/marlow--co
https://www.businessforsale.com.au/australia/9c4ca936/fish--chips-burgers-coffee-expressions-of-interest-,,Takeaway,Fish & Chips –Burgers- Coffee Expressions Of Interest ,Contact Seller for Price ,Business for Sale > Tasmania > Hobart > Food and Hospitality > Takeaway,Hobart TAS,
https://www.businessforsale.com.au/australia/b989a801/most-popular-mobile-phone-repair-shop-in-hobart,,Repairs,Most Popular Mobile Phone Repair Shop In Hobart,"$110,000 ",Business for Sale > Tasmania > Hobart > Services > Repairs,Hobart TAS,
https://www.businessforsale.com.au/australia/FFB1P3324/sicily-pizza-group-,1P3324,Restaurant,Sicily Pizza Group ,"$2,100,000",Business for Sale > South Australia > Adelaide Region > Adelaide > Food and Hospitality > Restaurant,Adelaide SA,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P3323/nostru-bottleshop-bar-,1P3323,Restaurant,Nostru Bottleshop Bar  ,"$275,000",Business for Sale > South Australia > Adelaide Region > Adelaide > Food and Hospitality > Restaurant,Adelaide SA,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/42d0541c/leasehold-business-for-sale,,Fabrication,Leasehold Business For Sale,"$420,000 ",Business for Sale > Tasmania > Hobart Region > Mornington > Industrial/Manufacturing > Fabrication,Mornington TAS,https://www.businessforsale.com.au/business-brokers-profile/AB0691/knight-frank-tasmania-hobart
https://www.businessforsale.com.au/australia/0aab1137/aged-and-disability-ndis-business-for-sale-nsw,,Allied Health,Aged and Disability NDIS business FOR SALE - NSW,"$130,000 ",Business for Sale > New South Wales > Dubbo & Central NSW Region > Health and Medical Services > Allied Health,"Dubbo & Central NSW Region, NSW",https://www.businessforsale.com.au/franchise-company/C1166/just-better-care-australia-pty-ltd
https://www.businessforsale.com.au/australia/9ff35b5ee4/freehold-liquor-store-property-only,,Alcohol/Liquor,FREEHOLD LIQUOR STORE (PROPERTY ONLY),Contact Seller for Price E.O.I.,Business for Sale > New South Wales > Perth Region > Convenience and Grocery > Alcohol/Liquor,"Perth Region, NSW",https://www.businessforsale.com.au/business-brokers-profile/AB1024/platinum-business-sales
https://www.businessforsale.com.au/australia/DBH18604/large-established-cafe,18604,Cafe,LARGE ESTABLISHED CAFE,"$450,000 + SAV",Business for Sale > New South Wales > Newcastle & Maitland Hunter Region > Newcastle > Food and Hospitality > Cafe,Newcastle NSW,https://www.businessforsale.com.au/business-brokers-profile/AB2057/direct-business-hub
https://www.businessforsale.com.au/australia/BBFbonza_51_3155/33106-profitable-italian-restaurant-10-years,bonza_51_3155,Restaurant,33106 Profitable Italian Restaurant - 10+ Years,"$45,000 Plus Stock",Business for Sale > New South Wales > Sydney Region > Jannali > Food and Hospitality > Restaurant,Jannali NSW,https://www.businessforsale.com.au/business-brokers-profile/AB1561/bonza-business--franchise-sales-pty-ltd
https://www.businessforsale.com.au/australia/C2Cxcllusive_51_117/licenced-restaurant-with-marina-views-cullen-bay-larrakeyah,xcllusive_51_117,Restaurant,"Licenced Restaurant with Marina Views - Cullen Bay, Larrakeyah","$1,500,000 WIWO",Business for Sale > Northern Territory > Darwin Region > Darwin > Food and Hospitality > Restaurant,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB2176/coast-to-coast-business-sales
https://www.businessforsale.com.au/australia/C2Cxcllusive_51_220/freehold-catering-business-and-commercial-premises-darwin-nt,xcllusive_51_220,Takeaway,"FREEHOLD Catering Business and Commercial Premises – Darwin, NT",OFFERS OVER $420K,Business for Sale > Northern Territory > Darwin Region > Winnellie > Food and Hospitality > Takeaway,Winnellie NT,https://www.businessforsale.com.au/business-brokers-profile/AB2176/coast-to-coast-business-sales
https://www.businessforsale.com.au/australia/XCLxcllusive_51_59/major-electrical-and-mechanical-hvac-services-operation-darwin,xcllusive_51_59,Electrical,Major Electrical and Mechanical (HVAC) Services operation - Darwin,Expression of Interest,Business for Sale > Northern Territory > Darwin Region > Darwin > Industrial/Manufacturing > Electrical,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB0666/xcllusive-business-sales
https://www.businessforsale.com.au/australia/BB19134/heavy-vehicle-mechanical-repairs-darwin-under-cost-price,19134,Auto Electrical,Heavy Vehicle Mechanical Repairs - Darwin - Under Cost Price,"$649,000 ",Business for Sale > Northern Territory > Canberra Region > Darwin > Bike and Automotive > Auto Electrical,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB0599/business-brokers-network-australia
https://www.businessforsale.com.au/australia/e22a849a/plumbing-bros-group-plumbing-darwin,7766337979,Hardware,Plumbing Bros Group- Plumbing -Darwin,"$159,000 ",Business for Sale > Northern Territory > Darwin Region > Darwin > Specialty Retail > Hardware,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB1007/johnston-business-sales
https://www.businessforsale.com.au/australia/d0752218/chem-dry-carpet-cleaning-darwin,4877321510,Cleaning,Chem-dry Carpet Cleaning- Darwin,"$19,950 ","Business for Sale > Northern Territory > Darwin Region > Darwin > Cleaning, Laundry and Waste Services > Cleaning",Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB1007/johnston-business-sales
https://www.businessforsale.com.au/australia/a86f85b7/mobile-app-city-home-based-darwin,5917321606,Computer/IT,Mobile App City -Home Based - Darwin,"$20,000 ",Business for Sale > Northern Territory > Business and Professional Services > Computer/IT,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB1007/johnston-business-sales
https://www.businessforsale.com.au/australia/C2Cxcllusive_51_945/commercial-and-residential-cleaning-business-darwin-nt,xcllusive_51_945,Cleaning,"Commercial and Residential Cleaning Business – Darwin, NT","$700,000 ",Business for Sale > Northern Territory > Canberra Region > Darwin > Specialty Retail > Cleaning,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB2176/coast-to-coast-business-sales
https://www.businessforsale.com.au/australia/BB20431/indian-motorcycle-dealership-nt,20431,Bike and Motorcycle,Indian Motorcycle Dealership NT,"$149,000 ",Business for Sale > Northern Territory > Canberra Region > Darwin > Bike and Automotive > Bike and Motorcycle,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB0599/business-brokers-network-australia
https://www.businessforsale.com.au/australia/90aab6cb/multi-award-winning-function-centre-restaurant-for-sale,7757,Restaurant,Multi Award-winning Function Centre/ Restaurant For Sale,Contact Seller for Price ,Business for Sale > Northern Territory > Darwin Region > Darwin > Food and Hospitality > Restaurant,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB1007/johnston-business-sales
https://www.businessforsale.com.au/australia/FFB1P2771/business-sales-opportunity-nt,1P2771,Brokerage,Business Sales Opportunity - NT,"$19,500 + GST",Business for Sale > Northern Territory > Darwin Region > Darwin > Business and Professional Services > Brokerage,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/2dfd9760/soul-origin-franchise-coolalinga,7170349839,Takeaway,Soul Origin - Franchise -Coolalinga,"$370,000 ",Business for Sale > Northern Territory > Darwin Region > Coolalinga > Food and Hospitality > Takeaway,Coolalinga NT,https://www.businessforsale.com.au/business-brokers-profile/AB1007/johnston-business-sales
https://www.businessforsale.com.au/australia/932f3847/an-opportunity-with-so-much-potential-,,Furniture,An opportunity with so much potential! ,"$1,000,000 ",Business for Sale > Northern Territory > Darwin Region > Furniture and Household Goods > Furniture,"Darwin Region, NT",https://www.businessforsale.com.au/franchise-company/C1151/bedshed-
https://www.businessforsale.com.au/australia/FFB1P2909/lenards-chicken-store-for-sale-strong-profit-margins,1P2909,Deli,Lenard's Chicken Store For Sale - Strong Profit Margins,"$310,000",Business for Sale > Northern Territory > Darwin Region > Darwin > Food and Hospitality > Deli,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P2910/lenards-chicken-franchise-leanyer-nt,1P2910,Deli,"Lenard's Chicken Franchise - Leanyer, NT","$310,000",Business for Sale > Northern Territory > Darwin Region > Leanyer > Food and Hospitality > Deli,Leanyer NT,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/ABB1525/indian-restaurant-for-sale,1525,Takeaway,INDIAN RESTAURANT FOR SALE,"$228,000 ",Business for Sale > Victoria > Melbourne Region > Craigieburn > Food and Hospitality > Takeaway,Craigieburn VIC,https://www.businessforsale.com.au/business-brokers-profile/AB2233/aslan-business-brokers
https://www.businessforsale.com.au/australia/FFB1P2918/building-inspections-business-cash-machine,1P2918,Property/Real Estate,Building Inspections Business - Cash Machine!!,"$119,500",Business for Sale > Northern Territory > Darwin Region > Darwin > Business and Professional Services > Property/Real Estate,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/3e66183c62/gutter-knight-franchise-adelaide,5687353941,Building and Construction,Gutter Knight - Franchise - Adelaide,"$74,950 ",Business for Sale > South Australia > Adelaide Region > Adelaide > Industrial/Manufacturing > Building and Construction,Adelaide SA,https://www.businessforsale.com.au/business-brokers-profile/AB1007/johnston-business-sales
https://www.businessforsale.com.au/australia/cf758ff9bc/gutter-knight-franchise-prospect,5687353969,Building and Construction,Gutter Knight - Franchise - Prospect,"$74,950 + G.S.T.",Business for Sale > South Australia > Adelaide Region > Industrial/Manufacturing > Building and Construction,"Adelaide Region, SA",https://www.businessforsale.com.au/business-brokers-profile/AB1007/johnston-business-sales
https://www.businessforsale.com.au/australia/XCLxcllusive_51_1145/under-offer-secure-facilities-management-business-adelaide,xcllusive_51_1145,Cleaning,UNDER OFFER! Secure Facilities Management Business – Adelaide,"$1,195,000",Business for Sale > South Australia > Adelaide Region > Adelaide > Specialty Retail > Cleaning,Adelaide SA,https://www.businessforsale.com.au/business-brokers-profile/AB0666/xcllusive-business-sales
https://www.businessforsale.com.au/australia/FFB1P3206/fencing-quotation-website,1P3206,Building and Construction,Fencing Quotation Website,"$95,000",Business for Sale > South Australia > Adelaide Region > Adelaide > Industrial/Manufacturing > Building and Construction,Adelaide SA,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/BB21205/a-newly-established-cafe-nearby-glenelg-sa-sale-for-equipment-cost,21205,Cafe,A newly established Cafe nearby Glenelg SA sale for equipment cost,"$62,000 + SAV",Business for Sale > South Australia > Adelaide Region > Glenelg > Cafe and Restaurant > Cafe,Glenelg SA,https://www.businessforsale.com.au/business-brokers-profile/AB0599/business-brokers-network-australia
https://www.businessforsale.com.au/australia/C2Cxcllusive_51_1181/paint-and-sip-experience-pinot-and-picasso-glenelg-sa,xcllusive_51_1181,Arts & Crafts,"Paint and Sip Experience Pinot and Picasso – Glenelg, SA","$90,000 - $110,000",Business for Sale > South Australia > Adelaide Region > Glenelg > Leisure/Entertainment > Arts & Crafts,Glenelg SA,https://www.businessforsale.com.au/business-brokers-profile/AB2176/coast-to-coast-business-sales
https://www.businessforsale.com.au/australia/LNK117-NSW11116/price-reduced.-motivated-seller.-healthcare-labour-hire.,117-NSW11116,Employment/Recruitment,Price Reduced. Motivated Seller. Healthcare Labour Hire.,Refer to Broker,Business for Sale > New South Wales > Sydney Region > Sydney > Business and Professional Services > Employment/Recruitment,Sydney NSW,https://www.businessforsale.com.au/business-brokers-profile/AB0839/link-nsw
https://www.businessforsale.com.au/australia/BB21261/vibrant--unique-caferestaurantbar--beer-garden-peninsula,21261,Cafe,"Vibrant & Unique Cafe/Restaurant/Bar & Beer Garden, Peninsula","$199,000 ",Business for Sale > New South Wales > Gosford & Central Coast Region > Woy Woy > Cafe and Restaurant > Cafe,Woy Woy NSW,https://www.businessforsale.com.au/business-brokers-profile/AB0599/business-brokers-network-australia
https://www.businessforsale.com.au/australia/BBFbonza_51_2555/23312-online-baby-gifting-store-profitable-ecommerce-opportunity,bonza_51_2555,Clothing,23312 Online Baby Gifting Store – Profitable eCommerce Opportunity,"$30,000 Including Stock","Business for Sale > New South Wales > Sydney Region > Sydney > Clothing, Fashion and Accessories > Clothing",Sydney NSW,https://www.businessforsale.com.au/business-brokers-profile/AB1561/bonza-business--franchise-sales-pty-ltd
https://www.businessforsale.com.au/australia/NI2910/inner-south-highly-profitable-fish-and-chips-no-fresh-great-rent-no-sundays,2910,Takeaway,Inner South Highly Profitable Fish and Chips No Fresh Great Rent No Sundays,"$369,000",Business for Sale > New South Wales > Sydney Region > Surry Hills > Food and Hospitality > Takeaway,Surry Hills NSW,https://www.businessforsale.com.au/business-brokers-profile/AB1328/network-infinity
https://www.businessforsale.com.au/australia/BBFbonza_51_3716/34341-renowned-restaurant-in-prime-location-fully-managed,bonza_51_3716,Restaurant,34341 Renowned Restaurant in Prime Location - Fully Managed,"$350,000",Business for Sale > New South Wales > Sydney Region > Sydney > Food and Hospitality > Restaurant,Sydney NSW,https://www.businessforsale.com.au/business-brokers-profile/AB1561/bonza-business--franchise-sales-pty-ltd
https://www.businessforsale.com.au/australia/BBFbonza_51_3656/34147-profitable--highly-reputable-cleaning-business,bonza_51_3656,Cleaning,34147 Profitable & Highly Reputable Cleaning Business,"$150,000 Negotiable",Business for Sale > New South Wales > Sydney Region > Blacktown > Specialty Retail > Cleaning,Blacktown NSW,https://www.businessforsale.com.au/business-brokers-profile/AB1561/bonza-business--franchise-sales-pty-ltd
https://www.businessforsale.com.au/australia/NI2708/for-sale-grand-modern-license-lobby-cafe-take-away-5-days-cbd-sydney-nsw,2708,Cafe,For Sale Grand Modern License lobby Cafe Take Away 5 Days CBD Sydney NSW,"$700,000",Business for Sale > New South Wales > Sydney Region > Sydney > Food and Hospitality > Cafe,Sydney NSW,https://www.businessforsale.com.au/business-brokers-profile/AB1328/network-infinity
https://www.businessforsale.com.au/australia/BB21265/butcher-shop-for-sale-a-gem-on-the-sapphire-coast-csbb4907,21265,Butcher,Butcher Shop For Sale: A Gem on the Sapphire Coast CSBB4907,"$450,000 + SAV",Business for Sale > New South Wales > Goulburn & Southern Tablelands Region > Merimbula > Food and Hospitality > Butcher,Merimbula NSW,https://www.businessforsale.com.au/business-brokers-profile/AB0599/business-brokers-network-australia
https://www.businessforsale.com.au/australia/BBFbonza_51_3727/34345-window-cleaning-business-residential--commercial-clients,bonza_51_3727,Cleaning,34345 Window Cleaning Business - Residential & Commercial Clients,"$149,900",Business for Sale > Queensland > Brisbane Region > Brisbane City > Specialty Retail > Cleaning,Brisbane City QLD,https://www.businessforsale.com.au/business-brokers-profile/AB1561/bonza-business--franchise-sales-pty-ltd
https://www.businessforsale.com.au/australia/FFB1P2856/home-based-lawn-mowing--maintenance-business-for-sale,1P2856,Lawn/Garden Maintenance,Home Based Lawn Mowing & Maintenance Business for Sale,"$139,000","Business for Sale > Queensland > Cairns & Far North Region > Cairns > Garden, Household Repairs and Maintenance > Lawn/Garden Maintenance",Cairns QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P2853/opportunity-to-own-homebased-furniture-removal-and-courier-service-business,1P2853,Truck,Opportunity to own homebased Furniture Removal and Courier Service business,"$230,000 WIWO","Business for Sale > Queensland > Cairns & Far North Region > Cairns > Transport, Distribution and Storage > Truck",Cairns QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P2850/peters-off-road--outdoor-indian-motorcycle-cairns,1P2850,Bike and Motorcycle,"Peter's Off-Road & Outdoor, Indian Motorcycle Cairns","$450,000 + Stock",Business for Sale > Queensland > Cairns & Far North Region > Cairns > Bike and Automotive > Bike and Motorcycle,Cairns QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P2857/long-established-locally-respected-plumbing-business-for-sale,1P2857,Building and Construction,"Long Established, Locally Respected Plumbing Business for Sale","$1,100,000 + Stock",Business for Sale > Queensland > Cairns & Far North Region > Mossman > Industrial/Manufacturing > Building and Construction,Mossman QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P2809/coming-soon-iconic-hair-salon-loved-by-locals,1P2809,Hair Salon,Coming Soon - Iconic Hair Salon - loved by locals,"$129,000","Business for Sale > Queensland > Brisbane Region > Bulimba > Beauty, Health and Fitness > Hair Salon",Bulimba QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/MHB1P0339/management-rights-mowbray-by-the-sea-holiday-apartments-port-douglas-qld-1p0339,1P0339,Management Rights,"MANAGEMENT RIGHTS - Mowbray by the Sea Holiday Apartments, Port Douglas QLD - 1P0339","Management Rights - $1,995,000",Business for Sale > Queensland > Cairns & Far North Region > Port Douglas > Accommodation and Tourism > Management Rights,Port Douglas QLD,https://www.businessforsale.com.au/business-brokers-profile/AB2234/mcdonald-hospitality-brokers-mhb
https://www.businessforsale.com.au/australia/FFB1P2847/leading-events-and-party-hire-business-for-sale,1P2847,Hire,Leading Events and Party Hire Business for Sale,"$99,000 + Stock (Approx. $350,000)",Business for Sale > Queensland > Cairns & Far North Region > Cairns City > Hire and Rental > Hire,Cairns City QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P2858/northern-beaches-iconic-barber-for-sale,1P2858,Hair Salon,Northern Beaches Iconic Barber for Sale,"70,000 WIWO","Business for Sale > Queensland > Cairns & Far North Region > Cairns > Beauty, Health and Fitness > Hair Salon",Cairns QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P2852/profitable-poolwerx-franchise-business-for-sale,1P2852,Swimming Pool,Profitable Poolwerx Franchise Business for Sale,"$220,000 + Stock","Business for Sale > Queensland > Cairns & Far North Region > Cairns > Garden, Household Repairs and Maintenance > Swimming Pool",Cairns QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P2848/successful-cafe-restaurant-in-a-prime-waterfront-location-for-sale,1P2848,Cafe,Successful Cafe Restaurant in a Prime Waterfront Location for Sale,"$499,000 + Stock",Business for Sale > Queensland > Sunshine Coast Region > Caloundra > Food and Hospitality > Cafe,Caloundra QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P2849/designated-pizzeria-for-sale,1P2849,Takeaway,Designated Pizzeria for sale,"$115,000 + Stock",Business for Sale > Queensland > Cairns & Far North Region > Cairns City > Food and Hospitality > Takeaway,Cairns City QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P2855/suburban-takeaway--restaurant-for-sale,1P2855,Takeaway,Suburban Takeaway & Restaurant for Sale,"150,000 + Stock",Business for Sale > Queensland > Cairns & Far North Region > Cairns City > Food and Hospitality > Takeaway,Cairns City QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/NI2922/pizza-restaurant-melbourne-city-fringe-over-40k-per-week,2922,Restaurant,Pizza Restaurant Melbourne City Fringe over $40K per week,"$950,000 ",Business for Sale > Victoria > Sydney Region > Carlton > Food and Hospitality > Restaurant,Carlton VIC,https://www.businessforsale.com.au/business-brokers-profile/AB1328/network-infinity
https://www.businessforsale.com.au/australia/BB20943/firearms-business.-includes-400k-in-stock.,20943,Leisure,Firearms business. includes $400K in stock.,"$650,000 ",Business for Sale > Victoria > Sydney Region > Epping > Leisure/Entertainment > Leisure,Epping VIC,https://www.businessforsale.com.au/business-brokers-profile/AB0599/business-brokers-network-australia
https://www.businessforsale.com.au/australia/BB20927/premier-gymnasium-melbournes-north-operating-15-years,20927,Sports Centre,PREMIER GYMNASIUM MELBOURNE'S NORTH  OPERATING 15 YEARS,Contact Seller for Price ,"Business for Sale > Victoria > Melbourne Region > Craigieburn > Beauty, Health and Fitness > Sports Centre",Craigieburn VIC,https://www.businessforsale.com.au/business-brokers-profile/AB0599/business-brokers-network-australia
https://www.businessforsale.com.au/australia/BBFbonza_51_3458/34232-established-air-conditioning-business-strong-reputation,bonza_51_3458,Repairs,34232 Established Air Conditioning Business - Strong Reputation,"$189,000",Business for Sale > Victoria > Melbourne Region > Melbourne > Services > Repairs,Melbourne VIC,https://www.businessforsale.com.au/business-brokers-profile/AB1561/bonza-business--franchise-sales-pty-ltd
https://www.businessforsale.com.au/australia/C2Cxcllusive_51_1039/self-tanning-ecommerce-online-beauty-retailer-national-opportunity,xcllusive_51_1039,Beauty Products,Self-Tanning eCommerce Online Beauty Retailer – National Opportunity,"$35,000 + SAV (APPROX $20K)","Business for Sale > Victoria > Melbourne Region > Melbourne > Beauty, Health and Fitness > Beauty Products",Melbourne VIC,https://www.businessforsale.com.au/business-brokers-profile/AB2176/coast-to-coast-business-sales
https://www.businessforsale.com.au/australia/BB20944/canvass-shade-sails-blinds-complete-manufacturing,20944,Homeware,"Canvass, Shade-Sails, Blinds, Complete Manufacturing","$535,000 ",Business for Sale > Victoria > Bairnsdale & Gippsland Region > Bairnsdale > Specialty Retail > Homeware,Bairnsdale VIC,https://www.businessforsale.com.au/business-brokers-profile/AB0599/business-brokers-network-australia
https://www.businessforsale.com.au/australia/BBFbonza_51_3291/22358-profitable-specialty-tobacconist-all-offers-considered,bonza_51_3291,Convenience Store,22358 Profitable Specialty Tobacconist - ALL OFFERS CONSIDERED,"$799,000 Including Stock",Business for Sale > Queensland > Cairns & Far North Region > Cairns > Specialty Retail > Convenience Store,Cairns QLD,https://www.businessforsale.com.au/business-brokers-profile/AB1561/bonza-business--franchise-sales-pty-ltd
https://www.businessforsale.com.au/australia/FFB1P3498/bbq-manufacturing-business-innovative-product,1P3498,Manufacturing,BBQ Manufacturing Business - Innovative Product,"$75,000",Business for Sale > New South Wales > Sydney Region > Sydney > Food and Hospitality > Manufacturing,Sydney NSW,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/FFB1P2854/iconic-tour-advice-and-booking-centre-for-sale,1P2854,Charters/Tours,Iconic Tour advice and Booking Centre for Sale,"$99,000 WIWO",Business for Sale > Queensland > Cairns & Far North Region > Cairns > Accommodation and Tourism > Charters/Tours,Cairns QLD,https://www.businessforsale.com.au/business-brokers-profile/AB0558/the-finn-group
https://www.businessforsale.com.au/australia/BB20152/managed-larger-style-beauty-salon-for-sale-eastern-suburbs-sa-nk.,20152,Beauty Products,"Managed Larger style Beauty Salon for sale, Eastern suburbs, SA (nk.)","$199,000 + SAV","Business for Sale > South Australia > Adelaide Region > Adelaide > Beauty, Health and Fitness > Beauty Products",Adelaide SA,https://www.businessforsale.com.au/business-brokers-profile/AB0599/business-brokers-network-australia
